Type,Start,End,Duration,Distance,Average Heart Rate,Max Heart Rate,Average Pace,Average Speed,Active Energy,Total Energy,Elevation Ascended,Weather Temperature,Weather Humidity
Cross Training,2/10/2020 9:01,2/10/2020 9:48,0:46:36,1.120972092,127.6940672,142.068788,0:41:34,1.44305859,365.495,440.686,,42,77
Cross Training,2/8/2020 12:59,2/8/2020 14:35,1:35:51,6.717160185,152.8299847,159.6664047,0:14:16,4.204536019,1056.552,1211.272,,42,33
High Intensity Interval Training,2/7/2020 18:31,2/7/2020 19:16,0:44:32,,146.7974304,157.9331133,,,519.49,591.481,,39,38
Cross Training,2/5/2020 17:36,2/5/2020 18:41,1:05:35,1.207516043,140.7900192,147.8874751,0:54:19,1.104569942,662.433,768.213,,39,68
Outdoor Running,2/3/2020 8:52,2/3/2020 9:02,0:10:06,1.134911616,164.7471276,164.7471276,0:08:54,6.732798102,135.972,152.2,93.8648294,44,65
Cross Training,2/2/2020 10:17,2/2/2020 11:43,1:25:52,1.875708504,140.6763702,150.7550693,0:45:46,1.310604063,772.19,910.524,,42,50
Outdoor Running,1/28/2020 15:32,1/28/2020 16:58,1:25:12,10.89316624,162.6656351,174.4659296,0:07:49,7.67027525,1190.49,1333.472,392.1259843,44,42
Indoor Cycling,1/24/2020 12:36,1/24/2020 13:24,0:47:20,,95.75442722,102.9843507,,,293.06,391.335,,49,62
Indoor Walking,1/20/2020 20:37,1/20/2020 22:24,1:42:09,4.939354646,87.04663802,110,0:20:40,2.901060474,420.599,612.665,,23,51
Outdoor Running,1/14/2020 10:10,1/14/2020 11:03,0:52:47,7.495298623,182.4667103,185.2869319,0:07:02,8.517834932,847.059,934.142,451.1154856,45,90
Outdoor Running,1/9/2020 12:26,1/9/2020 13:14,0:47:56,6.076808809,NA,NA,0:07:53,7.606567858,695.203,776.947,402.0341207,33,40
Outdoor Running,1/7/2020 10:12,1/7/2020 10:44,0:32:28,4.716937316,172,172,0:06:53,8.712912946,540.114,598.631,302.1653543,41,48
